基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,福島１丁目,,男,0,658,0,7,8,6,3,4,7,12,7,7,6,2,7,4,5,2,4,5,0,3,4,4,6,0,5,7,8,13,8,8,9,7,12,12,11,15,5,8,7,18,9,11,17,27,14,15,10,12,13,12,9,10,7,14,9,8,9,9,9,11,11,19,2,8,9,6,6,1,3,3,6,9,7,3,7,5,6,5,1,4,6,3,4,3,4,3,2,3,1,2,1,2,1,0,0,0,0,0,0,0,0,1,0
2020/3/31,福島１丁目,,女,0,687,0,10,6,7,5,6,5,9,8,5,5,4,3,3,6,2,0,2,1,3,3,2,6,7,5,7,9,8,9,5,12,4,10,11,11,14,13,16,9,11,9,12,8,11,15,11,15,14,12,19,17,10,19,11,5,11,8,14,8,9,8,6,7,6,6,4,6,9,4,6,7,10,10,10,8,6,5,3,5,5,9,5,4,8,1,3,5,5,3,2,2,1,1,0,2,2,1,0,0,1,1,0,0
2020/3/31,福島１丁目,,計,786,1345,0,17,14,13,8,10,12,21,15,12,11,6,10,7,11,4,4,7,1,6,7,6,12,7,10,14,17,21,17,13,21,11,22,23,22,29,18,24,16,29,18,23,25,38,29,26,25,26,25,31,26,20,26,25,14,19,17,23,17,20,19,25,9,14,15,10,12,10,7,9,13,19,17,13,15,11,11,8,6,9,15,8,8,11,5,6,7,8,4,4,3,3,2,0,2,2,1,0,0,1,1,1,0
2020/3/31,福島２丁目,,男,0,344,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,3,0,1,2,1,0,0,3,7,5,9,11,8,10,12,11,11,8,10,9,5,6,4,8,6,2,10,4,5,4,4,7,6,4,3,6,4,8,5,7,3,4,3,6,3,4,3,0,0,5,6,2,4,3,1,3,4,6,3,4,0,7,2,3,3,4,1,1,7,0,4,0,2,4,0,3,1,0,0,0,0,0,1,0,0,0,0,0
2020/3/31,福島２丁目,,女,0,314,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,2,0,0,1,0,4,6,4,7,6,6,4,6,6,2,6,9,8,7,4,3,11,7,4,3,6,5,3,4,9,6,9,6,4,2,2,4,3,4,3,1,7,6,6,2,1,0,1,1,6,2,8,1,4,3,4,5,8,5,0,4,6,4,0,3,0,4,3,4,3,3,3,0,1,4,3,3,0,2,0,0,1,0,0,0,0,0
2020/3/31,福島２丁目,,計,521,658,0,0,0,0,1,1,1,1,1,0,0,1,2,1,1,4,2,1,2,2,0,4,9,11,12,15,17,12,16,18,13,17,17,18,16,9,9,15,15,10,5,16,9,8,8,13,13,15,10,7,8,6,12,8,11,6,5,10,12,9,6,4,0,1,6,12,4,12,4,5,6,8,11,11,9,0,11,8,7,3,7,1,5,10,4,7,3,5,4,1,7,4,3,0,2,0,0,2,0,0,0,0,0
2020/3/31,福島３丁目,,男,0,1196,0,12,8,17,3,10,9,13,5,15,6,5,6,5,11,4,9,6,13,4,7,5,4,7,10,16,17,14,18,15,22,22,21,25,17,21,20,16,33,21,19,20,16,25,25,23,23,27,27,21,24,18,21,22,16,25,16,20,18,20,19,13,20,8,11,11,11,17,12,8,10,17,18,16,8,2,10,8,4,7,7,4,7,2,5,8,6,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0
2020/3/31,福島３丁目,,女,0,1408,0,16,12,20,11,12,13,7,7,15,6,8,10,11,9,8,9,9,8,7,10,5,6,9,9,14,10,9,20,12,18,19,19,26,23,23,24,29,20,25,29,26,34,30,27,30,25,25,28,32,27,22,18,16,21,27,24,19,19,19,20,12,13,16,13,15,13,10,15,10,22,14,16,19,15,7,9,14,12,13,10,8,12,12,10,9,5,9,6,4,5,4,4,2,0,0,1,1,0,0,2,0,0
2020/3/31,福島３丁目,,計,1477,2604,0,28,20,37,14,22,22,20,12,30,12,13,16,16,20,12,18,15,21,11,17,10,10,16,19,30,27,23,38,27,40,41,40,51,40,44,44,45,53,46,48,46,50,55,52,53,48,52,55,53,51,40,39,38,37,52,40,39,37,39,39,25,33,24,24,26,24,27,27,18,32,31,34,35,23,9,19,22,16,20,17,12,19,14,15,17,11,10,8,7,6,4,4,4,0,0,1,1,0,0,2,0,0
2020/3/31,福島４丁目,,男,0,1658,0,16,26,19,30,26,37,31,29,24,29,18,14,18,19,7,11,9,9,9,6,8,7,8,11,31,17,30,16,19,22,27,27,29,24,23,24,34,42,41,47,45,59,52,35,37,31,32,33,34,24,35,21,25,18,29,15,16,19,16,14,17,7,8,10,7,12,6,7,7,10,8,12,12,3,3,6,8,10,6,5,2,3,4,4,6,0,1,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,福島４丁目,,女,0,1882,0,20,25,26,26,27,29,23,26,28,21,16,18,17,11,8,8,11,12,17,6,13,13,22,14,28,16,22,23,29,28,32,26,30,35,51,30,37,49,51,47,41,68,42,40,37,33,43,35,28,34,37,33,20,15,20,22,23,15,22,17,16,10,11,12,7,5,13,9,8,11,10,16,17,17,7,9,4,11,9,7,4,6,9,6,10,6,4,4,3,3,2,1,6,1,1,2,2,4,1,1,1,0
2020/3/31,福島４丁目,,計,1774,3540,0,36,51,45,56,53,66,54,55,52,50,34,32,35,30,15,19,20,21,26,12,21,20,30,25,59,33,52,39,48,50,59,53,59,59,74,54,71,91,92,94,86,127,94,75,74,64,75,68,62,58,72,54,45,33,49,37,39,34,38,31,33,17,19,22,14,17,19,16,15,21,18,28,29,20,10,15,12,21,15,12,6,9,13,10,16,6,5,9,4,5,4,1,6,1,1,2,2,4,1,1,1,0
2020/3/31,福島５丁目,,男,0,484,0,10,3,6,4,1,6,4,4,4,6,4,2,5,0,2,2,1,0,1,3,3,6,3,2,12,10,9,8,8,4,9,5,10,9,10,3,14,9,6,17,13,6,9,7,7,5,10,10,9,7,12,6,5,4,9,7,2,6,15,9,2,3,4,4,6,3,5,3,3,3,4,8,4,4,4,5,7,4,4,0,2,1,2,1,3,1,3,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0
2020/3/31,福島５丁目,,女,0,611,0,7,9,2,2,4,5,5,4,5,4,4,4,6,2,4,3,5,5,3,4,8,4,5,3,8,7,10,6,9,8,10,10,6,14,7,11,7,15,8,11,12,12,14,7,13,8,6,7,15,7,11,8,7,8,10,9,8,7,7,2,4,8,5,6,7,5,5,6,8,5,9,6,6,6,1,9,9,7,7,7,4,1,4,5,2,3,5,7,5,2,2,3,1,2,2,1,1,1,2,0,0,0
2020/3/31,福島５丁目,,計,634,1095,0,17,12,8,6,5,11,9,8,9,10,8,6,11,2,6,5,6,5,4,7,11,10,8,5,20,17,19,14,17,12,19,15,16,23,17,14,21,24,14,28,25,18,23,14,20,13,16,17,24,14,23,14,12,12,19,16,10,13,22,11,6,11,9,10,13,8,10,9,11,8,13,14,10,10,5,14,16,11,11,7,6,2,6,6,5,4,8,9,6,3,3,4,1,3,2,1,2,1,2,0,0,0
2020/3/31,福島６丁目,,男,0,1287,0,15,21,19,11,11,14,5,9,6,6,5,7,3,5,3,3,3,6,4,8,10,9,12,32,18,40,46,43,37,35,23,25,33,41,34,34,34,38,32,28,26,30,26,18,17,26,26,23,25,20,21,21,18,11,13,11,6,12,10,11,6,9,4,4,6,6,3,8,7,5,4,11,6,5,6,7,4,3,3,6,3,5,4,3,6,2,4,2,1,0,1,0,0,1,2,1,0,0,0,0,0,0
2020/3/31,福島６丁目,,女,0,1348,0,13,17,10,9,9,12,16,10,10,2,6,4,7,6,5,3,6,2,3,6,6,6,6,43,34,36,35,33,27,43,30,37,42,46,31,29,33,27,28,30,38,25,35,26,27,19,27,23,27,19,15,19,12,16,13,7,11,11,7,5,5,7,9,9,5,3,5,6,10,8,11,13,18,13,7,7,3,5,6,3,5,6,4,5,8,4,3,3,2,5,4,3,0,0,1,0,1,0,0,1,0,0
2020/3/31,福島６丁目,,計,1796,2635,0,28,38,29,20,20,26,21,19,16,8,11,11,10,11,8,6,9,8,7,14,16,15,18,75,52,76,81,76,64,78,53,62,75,87,65,63,67,65,60,58,64,55,61,44,44,45,53,46,52,39,36,40,30,27,26,18,17,23,17,16,11,16,13,13,11,9,8,14,17,13,15,24,24,18,13,14,7,8,9,9,8,11,8,8,14,6,7,5,3,5,5,3,0,1,3,1,1,0,0,1,0,0
2020/3/31,福島７丁目,,男,0,1094,0,14,10,11,12,8,4,5,7,5,3,8,6,2,8,7,7,4,4,7,11,7,3,12,15,32,30,20,27,29,25,24,37,24,20,24,34,31,24,24,12,19,22,19,27,16,28,25,20,15,15,18,17,18,10,16,15,15,12,8,6,7,9,6,11,8,9,7,7,4,15,10,6,5,6,1,5,5,3,2,5,5,3,3,3,3,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,福島７丁目,,女,0,1108,0,12,14,10,11,13,10,9,5,8,2,3,5,6,4,3,5,2,6,6,15,13,6,15,14,17,25,19,24,26,35,21,35,43,25,26,28,29,21,20,17,24,16,20,15,28,27,29,18,16,26,10,19,13,11,16,5,11,15,6,12,10,6,11,6,5,4,3,5,7,9,9,9,6,8,2,8,4,5,6,4,2,5,3,5,4,3,3,2,1,2,0,1,2,1,0,0,1,1,0,0,0,0
2020/3/31,福島７丁目,,計,1428,2202,0,26,24,21,23,21,14,14,12,13,5,11,11,8,12,10,12,6,10,13,26,20,9,27,29,49,55,39,51,55,60,45,72,67,45,50,62,60,45,44,29,43,38,39,42,44,55,54,38,31,41,28,36,31,21,32,20,26,27,14,18,17,15,17,17,13,13,10,12,11,24,19,15,11,14,3,13,9,8,8,9,7,8,6,8,7,4,6,4,2,2,1,1,2,1,0,0,1,1,0,0,0,0
2020/3/31,福島８丁目,,男,0,670,0,1,3,4,3,3,1,3,7,6,5,5,5,4,1,7,2,3,3,7,6,4,4,10,12,14,18,18,17,12,18,9,11,9,13,8,13,9,13,14,14,4,5,10,8,13,13,6,6,14,7,10,5,8,12,12,2,3,9,8,13,9,9,9,10,2,10,4,8,4,5,6,9,9,9,1,11,8,3,7,6,5,7,3,7,6,1,1,1,3,0,2,3,2,0,0,1,2,0,0,0,0,0
2020/3/31,福島８丁目,,女,0,722,0,0,4,8,3,5,5,4,2,4,2,5,5,7,1,3,5,3,1,2,2,8,4,3,7,13,13,12,12,17,16,14,11,5,16,13,12,10,11,14,9,5,10,9,5,14,7,13,15,8,7,6,10,6,4,9,11,9,6,10,10,9,6,9,4,5,6,14,8,7,12,10,10,7,10,6,11,4,14,11,5,7,3,8,8,9,5,8,8,5,10,3,2,3,3,0,3,1,1,0,0,2,0
2020/3/31,福島８丁目,,計,855,1392,0,1,7,12,6,8,6,7,9,10,7,10,10,11,2,10,7,6,4,9,8,12,8,13,19,27,31,30,29,29,34,23,22,14,29,21,25,19,24,28,23,9,15,19,13,27,20,19,21,22,14,16,15,14,16,21,13,12,15,18,23,18,15,18,14,7,16,18,16,11,17,16,19,16,19,7,22,12,17,18,11,12,10,11,15,15,6,9,9,8,10,5,5,5,3,0,4,3,1,0,0,2,0
2020/3/31,玉川１丁目,,男,0,1309,0,17,10,24,14,19,15,17,16,19,17,17,17,15,14,15,21,7,13,16,5,14,10,11,13,22,14,17,16,13,11,18,14,16,19,16,25,16,24,25,14,26,22,29,31,22,32,28,23,24,23,25,27,24,20,21,18,22,16,14,10,13,18,12,10,9,7,7,9,10,15,6,14,10,6,6,6,6,5,5,9,5,5,3,0,5,3,2,3,2,2,1,0,2,0,0,0,0,0,0,0,0,0
2020/3/31,玉川１丁目,,女,0,1582,0,13,14,20,11,23,17,22,17,18,22,14,22,17,12,14,16,15,13,8,13,12,21,23,12,15,28,19,18,12,19,18,21,24,26,16,26,24,36,27,23,24,33,31,38,37,34,22,36,29,27,27,35,25,20,14,22,28,17,17,19,16,15,7,10,14,11,16,15,11,9,11,16,16,11,9,7,11,12,11,5,9,6,6,2,5,9,8,3,3,4,3,4,5,3,2,1,0,0,0,0,0,0
2020/3/31,玉川１丁目,,計,1388,2891,0,30,24,44,25,42,32,39,33,37,39,31,39,32,26,29,37,22,26,24,18,26,31,34,25,37,42,36,34,25,30,36,35,40,45,32,51,40,60,52,37,50,55,60,69,59,66,50,59,53,50,52,62,49,40,35,40,50,33,31,29,29,33,19,20,23,18,23,24,21,24,17,30,26,17,15,13,17,17,16,14,14,11,9,2,10,12,10,6,5,6,4,4,7,3,2,1,0,0,0,0,0,0
2020/3/31,玉川２丁目,,男,0,1047,0,10,7,8,5,5,10,8,7,6,11,4,9,9,9,10,5,5,6,13,3,5,5,9,12,9,14,17,17,13,12,13,22,17,12,12,16,13,11,12,19,12,19,12,9,12,19,19,18,19,21,16,13,16,6,15,10,6,9,9,12,9,15,13,9,13,11,7,11,13,14,30,15,25,17,17,13,15,11,18,14,10,11,8,4,10,4,2,4,8,1,4,2,3,2,2,0,0,0,0,0,0,0
2020/3/31,玉川２丁目,,女,0,1277,0,6,6,5,10,4,6,6,7,11,6,8,5,10,5,9,14,12,10,5,8,8,13,14,19,10,18,17,13,12,26,19,12,13,15,15,13,19,14,12,15,14,17,10,22,24,16,14,16,16,17,21,12,15,13,19,16,11,10,18,12,10,10,12,10,9,11,14,24,24,8,25,32,30,22,10,24,29,24,22,14,12,10,17,11,18,15,5,6,14,8,4,7,6,4,2,2,3,1,2,2,1,0
2020/3/31,玉川２丁目,,計,1266,2324,0,16,13,13,15,9,16,14,14,17,17,12,14,19,14,19,19,17,16,18,11,13,18,23,31,19,32,34,30,25,38,32,34,30,27,27,29,32,25,24,34,26,36,22,31,36,35,33,34,35,38,37,25,31,19,34,26,17,19,27,24,19,25,25,19,22,22,21,35,37,22,55,47,55,39,27,37,44,35,40,28,22,21,25,15,28,19,7,10,22,9,8,9,9,6,4,2,3,1,2,2,1,0
2020/3/31,玉川３丁目,,男,0,425,0,5,2,3,3,4,2,3,2,0,5,3,5,7,3,4,5,3,4,4,3,2,7,8,5,4,7,9,11,12,10,10,13,9,9,5,9,15,6,7,8,6,8,6,10,10,9,5,8,8,5,7,2,2,4,6,3,5,4,0,8,2,2,1,1,2,4,5,1,0,5,4,0,7,6,2,2,3,3,4,1,2,3,2,0,2,0,2,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0
2020/3/31,玉川３丁目,,女,0,449,0,2,2,3,4,2,3,3,5,6,4,2,3,5,4,4,3,5,2,6,5,2,5,6,12,12,8,8,14,10,14,12,12,13,8,4,2,6,10,5,13,4,11,8,8,8,10,7,8,3,4,5,4,3,2,5,4,6,2,3,3,4,2,1,2,1,3,3,4,8,7,5,3,3,2,2,2,3,4,2,4,2,2,3,4,2,3,1,1,0,2,2,1,2,1,0,1,0,0,0,0,0,0
2020/3/31,玉川３丁目,,計,508,874,0,7,4,6,7,6,5,6,7,6,9,5,8,12,7,8,8,8,6,10,8,4,12,14,17,16,15,17,25,22,24,22,25,22,17,9,11,21,16,12,21,10,19,14,18,18,19,12,16,11,9,12,6,5,6,11,7,11,6,3,11,6,4,2,3,3,7,8,5,8,12,9,3,10,8,4,4,6,7,6,5,4,5,5,4,4,3,3,1,2,3,5,1,3,1,0,1,0,0,0,0,0,0
2020/3/31,玉川４丁目,,男,0,785,0,4,5,6,12,10,14,5,5,7,13,8,7,8,9,5,9,2,4,4,2,5,6,7,15,8,7,9,10,13,16,16,11,14,10,11,15,15,13,11,7,14,12,16,19,14,18,17,13,15,12,12,7,7,11,10,7,5,13,9,12,13,5,3,12,7,6,8,8,13,8,7,7,10,10,5,8,6,8,6,4,3,6,2,2,5,3,4,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
2020/3/31,玉川４丁目,,女,0,804,0,6,4,4,5,3,11,7,10,8,6,6,12,4,5,5,3,4,2,8,7,8,11,8,6,14,8,5,10,9,11,4,9,12,14,14,7,18,18,15,12,18,14,9,10,14,18,15,19,14,10,8,9,10,5,11,12,14,11,8,8,3,12,7,6,6,8,8,6,14,10,11,16,15,4,3,9,8,5,8,9,4,7,5,7,3,6,5,2,4,6,5,2,3,0,2,2,0,0,1,2,0,0
2020/3/31,玉川４丁目,,計,858,1589,0,10,9,10,17,13,25,12,15,15,19,14,19,12,14,10,12,6,6,12,9,13,17,15,21,22,15,14,20,22,27,20,20,26,24,25,22,33,31,26,19,32,26,25,29,28,36,32,32,29,22,20,16,17,16,21,19,19,24,17,20,16,17,10,18,13,14,16,14,27,18,18,23,25,14,8,17,14,13,14,13,7,13,7,9,8,9,9,2,5,7,6,3,3,1,2,2,0,0,1,2,0,0
2020/3/31,野田１丁目,,男,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,野田１丁目,,女,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,野田１丁目,,計,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,野田２丁目,,男,0,1067,0,12,11,12,17,6,15,9,4,14,6,9,8,12,15,12,9,10,9,13,7,7,6,6,11,12,12,12,16,20,17,14,15,11,15,10,18,17,20,15,16,14,20,13,26,21,15,16,21,23,19,13,23,15,16,18,11,9,9,9,13,5,11,9,7,5,6,7,8,9,12,12,20,13,11,14,12,7,8,7,11,5,9,4,6,8,7,8,6,6,3,3,1,1,0,0,1,1,0,0,0,0,0
2020/3/31,野田２丁目,,女,0,1186,0,16,11,10,12,11,6,7,10,12,4,12,7,6,9,6,13,9,11,10,7,5,8,15,12,13,24,17,18,26,17,15,18,13,14,12,24,15,9,19,13,18,22,19,20,19,15,21,22,16,17,9,11,21,7,21,12,14,9,11,17,7,6,2,11,8,9,11,13,15,7,14,26,25,12,10,11,11,19,11,14,11,8,9,21,14,12,6,7,13,5,3,8,3,3,2,0,0,1,0,0,1,0
